0 50 188.25
0 60 23063.5
0 70 28870.75
0 80 119089.2
0 90 304038.0
0 100 529676.0
0 110 786487.2
1 50 205.0
1 60 3050.75
1 70 19916.75
1 80 99076.8
1 90 267132.25
1 100 519311.25
1 110 789978.8
2 50 62.75
2 60 2232.75
2 70 22961.75
2 80 119569.8
2 90 297169.5
2 100 519105.25
2 110 819393.4
3 50 150.0
3 60 2813.0
3 70 20600.5
3 80 128405.4
3 90 313370.25
3 100 533244.5
3 110 765329.2
4 50 47.75
4 60 3313.25
4 70 31982.25
4 80 105273.4
4 90 279266.75
4 100 510433.5
4 110 729248.2
5 50 137.75
5 60 3852.0
5 70 19791.0
5 80 103778.6
5 90 260334.5
5 100 461616.0
5 110 783347.2
6 50 431.75
6 60 2586.0
6 70 19213.5
6 80 78523.2
6 90 280051.5
6 100 554051.25
6 110 791407.6
7 50 204.75
7 60 4050.5
7 70 16064.25
7 80 135130.2
7 90 310457.0
7 100 533731.0
7 110 829414.6
8 50 83.0
8 60 2214.25
8 70 48058.75
8 80 126462.6
8 90 319205.25
8 100 562485.5
8 110 811065.0
9 50 355.5
9 60 3398.5
9 70 43657.75
9 80 121295.8
9 90 321955.0
9 100 556603.75
9 110 815088.0
