0 50 2072378.6
0 60 2484672.2
0 70 2912899.2
0 80 3314618.6
0 90 3763974.0
0 100 4149651.8
0 110 4583197.8
1 50 2040238.8
1 60 2417604.0
1 70 2804027.8
1 80 3213058.4
1 90 3639897.8
1 100 4086512.8
1 110 4482806.6
2 50 1977538.8
2 60 2446414.8
2 70 2916966.8
2 80 3280784.0
2 90 3674197.2
2 100 4083967.8
2 110 4559973.6
3 50 2105474.4
3 60 2427292.0
3 70 2843933.4
3 80 3384636.2
3 90 3745439.8
3 100 4105014.6
3 110 4453117.8
4 50 1992828.4
4 60 2511366.0
4 70 2925806.2
4 80 3231038.6
4 90 3637850.0
4 100 4023208.0
4 110 4365804.2
5 50 2091136.4
5 60 2485008.0
5 70 2828980.4
5 80 3219808.4
5 90 3577190.4
5 100 3952168.4
5 110 4419799.2
6 50 2087048.8
6 60 2429672.6
6 70 2811758.4
6 80 3154230.0
6 90 3586633.8
6 100 4057821.0
6 110 4463230.4
7 50 2018774.6
7 60 2409536.4
7 70 2751879.0
7 80 3213460.0
7 90 3646458.2
7 100 4074291.2
7 110 4480102.4
8 50 2016106.8
8 60 2378576.0
8 70 2806761.0
8 80 3240719.2
8 90 3702816.8
8 100 4059287.0
8 110 4462710.8
9 50 2009674.0
9 60 2379530.6
9 70 2854034.6
9 80 3280952.0
9 90 3638159.2
9 100 4044108.8
9 110 4488885.8
