0 50 16427059191.7
0 60 19683555760.9
0 70 22056996232.6
0 80 24648175831.8
0 90 26843877603.5
0 100 27915303705.6
0 110 27830330971.6
1 50 16822795364.8
1 60 19826074532.8
1 70 21975955824.0
1 80 24671175656.0
1 90 27295181760.0
1 100 28618668766.4
1 110 28405261016.0
2 50 16255518876.8
2 60 20270304648.0
2 70 23202597622.4
2 80 25397553297.6
2 90 27119715897.6
2 100 28324335016.0
2 110 28255755876.8
3 50 17537861104.0
3 60 20030389521.6
3 70 22517534468.8
3 80 25742485038.4
3 90 26871397297.6
3 100 27917535803.2
3 110 27761331678.4
4 50 16485443998.2
4 60 20580947461.7
4 70 22644028664.1
4 80 24465187046.5
4 90 26597756860.8
4 100 28100175637.2
4 110 28107321956.4
5 50 17257035310.4
5 60 20070115060.8
5 70 21767076425.6
5 80 24849407446.4
5 90 26814379260.8
5 100 27991489025.6
5 110 28110189638.4
6 50 16984306316.8
6 60 19574409312.0
6 70 22129833337.6
6 80 24520348670.4
6 90 26868619104.0
6 100 28262439836.8
6 110 28110068705.6
7 50 16149094792.0
7 60 19693598836.8
7 70 21746253939.2
7 80 24850791643.2
7 90 27034849547.2
7 100 28646406510.4
7 110 28503549748.8
8 50 16363502238.4
8 60 19364500699.5
8 70 22165004395.2
8 80 25035136188.9
8 90 27247517800.0
8 100 28743017496.0
8 110 28530474088.0
9 50 16589752966.2
9 60 19501473552.6
9 70 22314509453.2
9 80 25498624703.0
9 90 27125477070.1
9 100 28601644467.5
9 110 27948416559.4
