50 0 157059.0
50 1 158001.4
50 2 152965.0
50 3 150888.0
50 4 158477.8
50 5 154693.2
50 6 158089.6
50 7 149254.4
50 8 145770.4
50 9 149603.2
60 0 161899.2
60 1 160991.6
60 2 160768.8
60 3 163817.0
60 4 167410.6
60 5 163823.6
60 6 153394.4
60 7 154082.8
60 8 158252.6
60 9 166209.8
70 0 248206.4
70 1 244425.8
70 2 239409.8
70 3 235064.6
70 4 234852.4
70 5 235423.0
70 6 229286.2
70 7 232354.6
70 8 237899.4
70 9 238093.4
80 0 238763.2
80 1 236004.2
80 2 238444.6
80 3 243249.8
80 4 234823.2
80 5 234629.0
80 6 236829.8
80 7 241617.4
80 8 245107.2
80 9 240478.6
90 0 253117.6
90 1 241012.0
90 2 237758.6
90 3 243541.8
90 4 231998.4
90 5 232670.8
90 6 238836.6
90 7 247055.8
90 8 243560.4
90 9 236724.6
100 0 259640.0
100 1 254286.0
100 2 254792.8
100 3 254412.8
100 4 247922.8
100 5 251206.8
100 6 257642.2
100 7 256021.8
100 8 256640.6
100 9 258086.2
110 0 253649.6
110 1 249799.4
110 2 250177.4
110 3 250294.8
110 4 248424.8
110 5 248887.8
110 6 252484.4
110 7 252858.6
110 8 251904.0
110 9 250294.2
