0 50 16430427755.6
0 60 19776756832.7
0 70 23070888831.7
0 80 26332693452.6
0 90 29868957951.5
0 100 33233063468.3
0 110 36464451452.2
1 50 16833244984.0
1 60 19872800692.0
1 70 23018652312.0
1 80 26544400148.8
1 90 30157959470.4
1 100 33859004881.6
1 110 37219807776.0
2 50 16250411792.0
2 60 20383678712.0
2 70 24312442012.0
2 80 27256240275.2
2 90 30425063025.6
2 100 33758762958.4
2 110 37433540692.8
3 50 17548335936.0
3 60 20107181948.0
3 70 23545302204.0
3 80 27773410166.4
3 90 30478754747.2
3 100 33134865091.2
3 110 35971212307.2
4 50 16481870541.5
4 60 20677090029.9
4 70 23840573814.2
4 80 26053803716.9
4 90 29371271120.9
4 100 32894398665.3
4 110 35823191367.6
5 50 17263297808.0
5 60 20110618740.0
5 70 22757479136.0
5 80 26356053121.6
5 90 29381238673.6
5 100 32368343849.6
5 110 36290596670.4
6 50 16991414432.0
6 60 19626762072.0
6 70 23076076500.0
6 80 25820701225.6
6 90 29456853153.6
6 100 33207261358.4
6 110 36544214368.0
7 50 16149422096.0
7 60 19763033716.0
7 70 22517077260.0
7 80 26307163870.4
7 90 29815606836.8
7 100 33555098236.8
7 110 37207953388.8
8 50 16370335844.0
8 60 19388974476.0
8 70 23009275056.0
8 80 26517374293.8
8 90 30551510492.6
8 100 33644719076.4
8 110 37008430380.9
9 50 16607061204.0
9 60 19546686552.2
9 70 23311576747.2
9 80 26999435347.5
9 90 30133705473.5
9 100 33726418092.4
9 110 37064734397.7
